ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
lane7	UNKNOWN	DB156	229310272	229016876	2149333	0.539715	221419713	7781609	101982	3929	741	503	281	151	109	98	71	76	75	93	117	248	476	16510749	14602834	13097589	12062389	10909016	9381064	7937414	6756148	5594651	4271949	
lane8	UNKNOWN	DB156	279234310	278903923	2548479	0.483845	269621166	9480599	124156	4877	872	657	311	200	123	99	75	68	83	88	142	309	485	20058385	17793169	16008312	14800447	13417334	11577600	9817920	8389094	6967817	5337041	
lane15	UNKNOWN	DB157	185435748	185311206	2425635	0.886019	179121703	6225411	81207	3298	1470	434	205	126	90	84	63	47	43	60	133	411	963	13348836	11662238	10485715	9746305	8867977	7622401	6437296	5489837	4547950	3459460	
lane16	UNKNOWN	DB157	280220695	280003283	3901453	0.91363	270684036	9403140	122134	4902	2193	723	378	215	141	112	97	82	72	104	203	690	1473	20153872	17683246	15956871	14867605	13570206	11676602	9868410	8435152	6994641	5318503	
lane507	UNKNOWN	DB234	220429779	219992880	2230335	0.823134	212809694	7511082	97670	5384	2923	504	275	164	111	79	79	77	70	127	207	479	854	15974088	14077371	12660200	11690375	10616363	9128530	7694138	6548016	5413185	4125523	
lane508	UNKNOWN	DB234	272446912	271980416	2663374	0.805128	263028203	9283700	121056	6606	3627	621	349	233	136	118	91	72	123	140	242	540	1055	19709374	17433773	15727353	14582844	13269890	11435409	9671404	8252485	6848847	5227326	
lane15	UNKNOWN	DB158	204501453	204315176	3925479	1.31336	197569199	6833158	90377	3687	823	565	258	159	114	104	76	90	88	138	255	707	1655	14758812	13013778	11733843	10954220	10011783	8635958	7314968	6276468	5238297	4023656	
lane16	UNKNOWN	DB158	313031910	312754600	6425597	1.36264	302412010	10468121	137901	5920	1230	834	485	264	208	183	152	143	135	198	380	1112	2634	22573841	19944626	18025247	16849363	15414527	13297171	11267322	9668934	8070857	6192261	
lane5	UNKNOWN	DB159	412683425	412421596	5894000	0.529293	398571878	13916128	182521	7355	1377	954	465	259	201	145	114	97	107	136	216	462	1010	29601740	26242551	23697392	22047792	20134182	17404955	14777768	12664800	10544145	8067314	
lane6	UNKNOWN	DB159	225743268	225592799	2388756	0.458816	218012116	7626168	98633	3717	683	451	231	123	90	72	69	51	61	61	113	197	432	16220750	14294056	12809659	11829199	10747304	9257992	7807868	6642609	5490503	4185931	
lane3	UNKNOWN	DB160	289340922	289194772	4237446	0.677376	279460821	9740214	129166	6292	1012	714	349	200	122	84	64	72	54	95	160	442	1061	20948142	18316079	16304391	14983464	13547371	11588775	9750681	8298932	6857271	5200531	
lane4	UNKNOWN	DB160	365510842	365331763	6378103	0.662995	353033488	12301052	163076	7746	1339	829	403	236	146	107	84	77	76	78	170	537	1398	26421557	23073014	20549954	18899717	17100724	14635506	12318233	10484236	8668140	6588100	
lane5	UNKNOWN	DB161	394097339	393893365	5762507	1.31583	380540295	13359269	179033	9079	1648	1124	616	380	260	190	170	153	193	289	448	1345	2847	28642023	25116948	22382259	20542807	18568801	15924629	13428538	11446288	9484047	7236833	
lane6	UNKNOWN	DB161	257601171	257457139	3021069	1.00879	248744422	8730774	115726	5300	942	656	289	212	138	97	88	73	82	135	245	638	1354	18718704	16316406	14440793	13159344	11834536	10120012	8494358	7200632	5933301	4520751	
lane13	UNKNOWN	DB162	244835352	244681375	3109353	1.31096	236472361	8244279	107830	4190	1841	634	345	220	146	102	90	105	90	143	270	824	1882	17543182	15326497	13714240	12676289	11489236	9874037	8342349	7122862	5909030	4506747	
lane14	UNKNOWN	DB162	322832914	322641675	4534767	1.40006	311814958	10862030	140894	5874	2479	793	452	284	159	154	118	111	123	188	364	1155	2778	23129392	20196075	18055852	16668031	15097039	12976397	10960162	9348467	7762806	5927270	
lane3	UNKNOWN	DB163	245084937	244765257	2167908	1.20723	236774838	8194361	105361	4101	1748	527	329	223	160	128	111	132	166	222	361	750	1419	17549074	15470323	13922004	12911385	11779295	10221383	8704787	7480077	6265402	4851777	
lane4	UNKNOWN	DB163	284255441	283798947	2785949	1.36432	274592892	9527740	122174	4802	1968	664	432	239	213	139	156	177	191	268	461	973	1952	20367448	17913457	16083714	14875620	13545209	11738087	9986952	8561211	7162646	5539935	
lane15	UNKNOWN	DB164	229435661	229276015	4551331	2.06882	221668617	7653165	99939	4589	2424	652	398	236	180	161	125	145	166	208	409	1201	3046	16463742	14464723	13007050	12091253	11043846	9503451	8029125	6868127	5703249	4356346	
lane16	UNKNOWN	DB164	337208382	336980078	7159152	2.11417	325791800	11249202	146155	7118	3624	992	576	329	267	232	170	211	231	330	607	1915	4623	24163246	21277740	19192819	17906040	16380463	14119784	11947430	10223705	8508284	6491098	
lane1	UNKNOWN	DB165	292118570	291768460	3160982	1.43105	282073744	9903746	127375	5336	2147	755	424	257	191	169	159	146	253	291	493	1092	1992	20884580	18417802	16464158	15100373	13665725	11823567	10048516	8597032	7171832	5542308	
lane2	UNKNOWN	DB165	291985920	291613005	3099183	1.07276	281978262	9869767	126127	4962	2041	616	336	229	164	155	155	167	183	258	384	820	1294	20949759	18492804	16550583	15196907	13771334	11910731	10121564	8657908	7210178	5564705	
