ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
lane2	UNKNOWN	DB197	281628506	281221802	2620859	0.702958	271838515	9653879	126792	4841	1040	667	366	227	144	132	117	99	119	143	211	450	764	20563921	18130392	16145932	14746016	13290233	11466202	9676100	8189493	6774644	5199212	
lane5	UNKNOWN	DB198	436807436	436418249	9862816	2.39031	421965392	14621484	194246	9461	1798	1352	706	507	349	259	284	243	266	401	839	2685	7164	31472359	27716164	24922755	23166177	21135863	18193008	15378327	13178870	10979393	8404169	
lane6	UNKNOWN	DB198	216327180	216140058	3235952	1.91843	208955116	7264804	96115	4417	843	609	279	188	145	109	123	101	115	166	318	1084	2648	15647168	13666575	12174586	11209187	10148490	8691678	7305667	6200729	5127231	3901056	
lane3	UNKNOWN	DB199	287416022	287093855	3026595	1.37501	277632422	9644612	126233	6102	1024	708	388	261	199	137	153	127	132	185	371	936	2032	20653308	17860755	15775907	14370856	12884459	10960864	9163422	7741630	6356071	4784538	
lane4	UNKNOWN	DB199	365051007	364524284	4486391	1.29708	352610964	12262910	161031	7811	1363	1008	508	375	232	171	157	160	166	239	381	1047	2484	26177591	22632683	19981012	18204752	16301007	13878497	11615670	9817001	8059617	6077987	
lane7	UNKNOWN	DB200	222002145	221641815	3997011	1.91344	214439768	7452618	97888	4899	855	607	393	222	145	119	106	90	118	171	332	1109	2705	16104070	14094479	12559766	11549457	10437433	8905503	7469564	6331414	5220513	3951850	
lane8	UNKNOWN	DB200	276331188	275911869	4950473	1.75662	266905070	9289327	122679	5925	1112	764	412	265	191	130	131	122	146	201	356	1245	3112	19978600	17552373	15677367	14458837	13091359	11198335	9406955	8003375	6615457	5018863	
lane1	UNKNOWN	DB201	313970130	313768614	5320795	1.11381	303322026	10498581	137347	5845	1133	784	436	241	157	119	99	85	107	139	255	795	1981	22559430	19489106	17145378	15582859	13949267	11883804	9969195	8440359	6953955	5241527	
lane2	UNKNOWN	DB201	314309736	314096683	5166420	1.17024	303629458	10530918	137050	5890	1054	813	372	249	138	105	106	110	114	158	268	884	2049	22565242	19504128	17170951	15597806	13954878	11887144	9971437	8442098	6943831	5241151	
lane15	UNKNOWN	DB202	211365522	211214817	3667965	0.869688	204234001	7032817	91417	3392	800	570	383	208	143	131	77	81	91	104	173	380	754	15076735	13065863	11600352	10643216	9601734	8212940	6915804	5887639	4866494	3690487	
lane16	UNKNOWN	DB202	336185081	335933890	6253061	0.846935	324845287	11183419	145280	5215	1175	863	507	293	235	145	141	144	137	176	259	570	1235	23945820	20778295	18474818	16976455	15338447	13143374	11069368	9432459	7803338	5916999	
lane5	UNKNOWN	DB203	405221759	404871786	4181220	0.705128	391224265	13804398	180547	6519	1317	882	528	314	214	154	128	121	127	187	308	595	1155	29210100	25442249	22459140	20368797	18245301	15636210	13158078	11149770	9205974	7028015	
lane6	UNKNOWN	DB203	239222437	238978640	2006030	0.523052	230957038	8152737	106176	3636	672	516	246	136	98	65	65	56	67	75	113	249	492	17299820	14978209	13156757	11848323	10557856	9023383	7558174	6369840	5228266	3982022	
lane7	UNKNOWN	DB204	173556232	173230416	1382067	0.808122	167557800	5914586	76734	3225	1526	456	219	118	85	75	65	87	67	111	162	327	589	12473568	10989202	9805387	8984368	8105955	6984516	5909370	5034254	4179483	3217474	
lane8	UNKNOWN	DB204	209638722	209297476	1614139	0.69696	202391040	7146607	92785	3987	1783	508	231	126	94	98	76	74	85	94	155	358	621	15046165	13297463	11908525	10948334	9913837	8569403	7270728	6222016	5183036	3999945	
lane3	UNKNOWN	DB205	281022973	280824124	3328558	1.29945	271384064	9501573	123650	5582	2634	756	387	216	169	119	108	113	116	195	359	988	1944	20141864	17594612	15652122	14350006	12951689	11133417	9407861	8025797	6665971	5101982	
lane4	UNKNOWN	DB205	331577276	331352128	4512444	1.30703	320191694	11222286	147234	6549	3130	867	445	246	207	139	132	145	141	229	427	1156	2249	23728897	20680782	18332838	16757550	15101882	12960789	10925607	9304310	7704839	5892904	
lane1	UNKNOWN	DB206	325606049	325431654	5418530	1.02978	314604774	10845690	142775	6298	1235	805	457	257	161	137	91	104	126	145	240	846	1908	23320907	20364825	18173945	16770426	15202386	12998553	10930343	9309011	7704551	5849940	
lane2	UNKNOWN	DB206	327864198	327668152	5407308	1.10484	316766772	10941203	143309	6134	1166	841	427	229	179	121	124	120	114	149	266	918	2126	23449397	20532444	18343157	16919781	15331970	13120061	11038242	9407162	7786635	5913831	
lane3	UNKNOWN	DB207	277185717	276993652	4347244	1.14706	267751516	9300774	122075	5821	962	655	380	206	152	93	104	82	99	158	254	740	1646	19797023	17095089	14997765	13558127	12064682	10219770	8525346	7185409	5875288	4400955	
lane4	UNKNOWN	DB207	320375727	320166204	5720658	1.08086	309460390	10761353	141112	6612	1120	864	448	241	167	124	107	86	108	155	294	821	1725	22849943	19713429	17281046	15592345	13871639	11745238	9789594	8240648	6727710	5046051	
lane3	UNKNOWN	DB208	291923349	291768236	5239777	1.08614	282178098	9608840	125761	4795	1052	700	352	181	170	89	83	91	100	106	237	754	1940	21196746	18352269	16236226	14883750	13472181	11507376	9659204	8210118	6787187	5127523	
lane4	UNKNOWN	DB208	364060685	363869847	7618666	1.05092	351902934	11987297	157193	6089	1258	903	478	259	183	142	113	92	122	175	269	928	2250	26371129	22843803	20219646	18570314	16818054	14380735	12095135	10283192	8494551	6428282	
lane5	UNKNOWN	DB209	409138214	408860568	7451995	0.529438	395196631	13747236	181056	7900	1285	912	502	248	182	135	88	104	96	145	230	524	940	29593634	26038988	23364117	21608145	19695918	17081556	14559423	12513382	10462975	8065606	
lane6	UNKNOWN	DB209	224674021	224496672	3421279	0.401516	217010033	7558830	98840	3992	644	377	217	109	93	52	39	43	47	61	92	198	354	16312251	14237798	12672644	11619037	10518778	9080867	7690500	6558718	5443695	4180291	
lane5	UNKNOWN	DB210	393244113	392889769	4950385	1.10642	380054568	12999729	172203	8616	1650	1043	571	354	261	220	196	202	236	287	530	1200	2247	28199940	25154912	22903933	21592745	20014793	17463878	14965835	12978814	10986152	8568494	
lane6	UNKNOWN	DB210	207197487	206997160	1925099	0.836581	200214828	6884268	90558	4081	751	516	264	160	129	91	83	87	95	133	208	440	795	14936380	13232328	11943254	11160464	10265677	8937031	7621352	6557438	5521175	4284983	
lane7	UNKNOWN	DB211	201373992	201187388	2638634	1.09359	194446597	6829424	89810	4308	715	491	225	116	109	88	37	36	38	72	169	500	1257	14400760	12409288	10885796	9808472	8690650	7328539	6076772	5083008	4124214	3071354	
lane8	UNKNOWN	DB211	249112753	248901025	3187637	1.03362	240530414	8461772	110953	5157	838	505	262	158	116	89	58	59	74	103	184	571	1440	17760325	15344046	13489315	12193369	10823784	9133956	7601503	6371942	5190981	3871092	
lane13	UNKNOWN	DB212	226455657	226292218	3133281	1.06238	218788484	7558860	98300	4234	1991	516	302	176	142	95	86	86	99	122	219	606	1339	16196585	14199844	12781299	11907138	10868696	9352045	7913006	6777951	5645274	4300682	
lane14	UNKNOWN	DB212	303906573	303708763	4572166	1.06821	293627890	10132505	132448	5789	2775	733	435	244	184	142	94	114	115	168	276	849	1812	21736678	19043636	17127626	15938260	14543141	12527994	10600813	9079465	7560185	5777173	
lane7	UNKNOWN	DB213	252863277	252405115	2235617	0.361241	244279717	8466333	110318	3881	1137	541	242	145	100	62	51	57	46	70	97	191	289	18103242	15839025	14179692	13088034	11895360	10289940	8723258	7442212	6175175	4738523	
lane8	UNKNOWN	DB213	299596240	299103117	2533776	0.356797	289430273	10027407	130661	4399	1292	611	289	159	119	97	74	49	64	65	123	212	346	21372429	18756279	16834788	15584894	14202356	12313704	10451699	8936125	7453905	5730387	
lane1	UNKNOWN	DB214	323424409	323193165	3262777	0.781115	312287070	10982375	143525	5343	2066	695	359	222	159	131	118	106	132	138	242	622	1106	23195390	20258673	17987710	16450022	14818363	12739160	10747396	9136008	7568712	5798006	
lane2	UNKNOWN	DB214	330119543	329876848	3419124	0.794761	318748100	11214415	145275	5376	2053	822	420	245	181	135	100	100	117	139	281	633	1151	23668739	20668404	18354859	16773951	15097612	12951456	10921024	9282611	7674632	5871290	
lane3	UNKNOWN	DB215	220016805	219706555	1551260	1.28203	212446861	7461663	98016	3998	1683	580	361	200	168	128	138	120	151	219	346	764	1409	15836418	14172280	12883490	12003853	10993190	9560235	8138376	6979005	5839950	4535299	
lane4	UNKNOWN	DB215	263599815	263187797	2083302	1.18207	254520838	8949666	117682	4613	1941	680	394	248	187	161	127	137	157	232	393	824	1535	18974090	16941107	15369411	14317859	13097766	11384193	9679904	8287994	6941555	5391633	
lane3	UNKNOWN	DB216	286006053	285802959	2372106	0.923434	276127117	9740077	128634	5051	1045	698	338	234	149	97	102	126	116	144	256	606	1263	20380292	17855476	15873212	14495093	13037788	11189027	9436194	8019288	6637647	5064067	
lane4	UNKNOWN	DB216	338071908	337827802	3083884	0.974057	326394027	11514105	151595	5868	1184	846	457	250	199	142	134	121	143	196	313	773	1555	24110040	21067040	18701930	17039888	15299118	13111632	11039888	9362683	7729302	5894614	
lane5	UNKNOWN	DB217	394758868	394615896	7307612	0.690222	381395914	13173791	175390	6717	1821	1271	629	375	261	174	171	123	131	190	267	510	1133	28348980	24710478	22152671	20588754	18795168	16153359	13581040	11577963	9610766	7297339	
lane6	UNKNOWN	DB217	256866202	256771826	3351919	0.440549	248189327	8557269	112294	3969	1037	650	303	143	117	81	57	51	51	72	95	214	472	18450027	15975478	14218616	13149426	11964218	10249717	8593646	7288380	6019126	4558532	
lane15	UNKNOWN	DB218	244803085	244564470	5194195	1.64897	236537585	8145272	107091	4750	2250	683	362	242	145	147	142	138	138	145	352	1110	2533	17710570	15534671	13969711	13066491	11985177	10350372	8786534	7552307	6314376	4848814	
lane16	UNKNOWN	DB218	364869411	364529179	7894485	1.63186	352542474	12148173	159067	7204	3298	1027	607	335	276	221	173	180	206	256	458	1642	3814	26401722	23198217	20923877	19582801	17975607	15537843	13193505	11342359	9483194	7275936	
lane5	UNKNOWN	DB219	375086465	374768734	4693351	0.872812	362421427	12489070	162360	6140	2448	877	462	279	202	138	113	117	138	167	307	707	1513	27100031	23262070	20365794	18486369	16505053	13999686	11689281	9873168	8082480	6053183	
lane6	UNKNOWN	DB219	214209645	213989779	2103644	0.756498	206974662	7135300	92419	3414	1283	534	256	163	126	91	58	59	65	76	128	336	675	15475264	13212107	11493571	10363606	9205359	7784978	6465186	5426044	4415536	3292365	
lane7	UNKNOWN	DB220	244680845	244308478	2557403	0.918826	236399384	8165735	106771	4441	877	601	304	188	131	116	102	88	116	142	208	548	1093	17706826	15512956	13829098	12726797	11545907	9960571	8423369	7176804	5957722	4571297	
lane8	UNKNOWN	DB220	300380249	299961793	3087361	0.864714	290207265	10031488	130820	5351	998	726	409	189	180	132	138	130	147	164	263	607	1242	21648736	19036999	17028226	15719249	14323008	12377064	10488370	8965102	7474821	5750193	
lane7	UNKNOWN	DB221	238658934	238254769	2081116	1.34049	230451672	8091664	106462	3798	829	557	299	175	145	104	97	93	86	178	316	786	1673	17240833	14969607	13167660	11897551	10625526	9085422	7627768	6446263	5298334	4032248	
lane8	UNKNOWN	DB221	294449036	294000303	2457656	1.17813	284305321	10002018	131060	4602	998	674	344	173	153	126	106	115	112	191	327	887	1829	21237105	18520968	16352309	14818485	13278585	11395765	9589324	8123478	6703768	5119391	
lane1	UNKNOWN	DB222	324673844	324467201	3759091	0.904087	313621219	10897253	142264	5857	2466	795	416	224	175	135	108	130	160	202	311	714	1415	23407523	20499990	18299309	16879451	15353095	13240332	11191343	9561818	7967695	6113753	
lane2	UNKNOWN	DB222	329133337	328916203	3866400	0.89619	317919928	11056115	144224	5909	2376	755	429	220	182	130	127	119	147	218	329	712	1417	23724204	20801810	18589987	17154149	15599736	13463592	11385559	9720121	8088062	6211818	
lane5	UNKNOWN	DB224	392757776	392477004	3931252	1.03358	379241436	13324052	176612	8184	1380	908	509	302	220	162	151	136	162	195	384	985	1998	28320452	24557789	21704475	19745270	17710292	15145479	12732560	10793466	8897403	6748754	
lane6	UNKNOWN	DB224	260381425	260186644	2323269	0.763709	251440466	8816932	115427	4815	756	514	286	176	125	94	70	77	73	109	180	411	914	18738548	16127047	14144622	12790514	11405115	9705668	8113777	6839690	5592961	4228209	
lane7	UNKNOWN	DB225	234696335	234216081	2613489	1.32682	226621029	7961215	104410	4342	805	517	310	193	138	106	108	100	94	156	316	843	1653	16888633	14751291	13132243	12030594	10856555	9351900	7908173	6744405	5583077	4285355	
lane8	UNKNOWN	DB225	305090148	304535730	3340113	1.26062	294594471	10346293	136836	5757	1013	702	413	245	198	136	119	121	136	188	387	1084	2049	21893745	19212908	17189607	15826990	14351341	12403483	10539673	9029419	7519429	5800927	
lane3	UNKNOWN	DB226	272244436	272052994	2868788	0.84967	263018014	9095497	120209	4816	1928	685	382	250	150	97	104	105	99	149	248	621	1082	19600725	17308926	15566174	14477298	13248261	11481390	9755699	8372071	7000220	5404873	
lane4	UNKNOWN	DB226	340018381	339771915	4134621	0.836207	328481207	11374594	149544	5918	2299	837	429	260	212	141	120	127	125	206	304	736	1322	24474959	21575365	19388304	17999434	16463218	14269671	12116106	10393880	8686383	6704848	
lane1	UNKNOWN	DB227	305823413	305595826	3902247	1.61231	295367814	10306565	133722	5852	2585	659	418	253	193	167	139	162	240	316	587	1328	2413	22127223	19326878	17072393	15537801	13990367	12020394	10133562	8631857	7162971	5508569	
lane2	UNKNOWN	DB227	307343237	307094707	3930614	1.38411	296861117	10334894	132885	5736	2508	686	405	231	170	171	139	159	159	259	503	1132	2083	22231213	19416695	17167495	15634553	14068599	12091629	10190926	8664385	7190236	5517622	
lane13	UNKNOWN	DB228	232424789	232234185	4094419	1.06776	224517193	7795454	102745	4652	783	564	314	144	136	110	83	82	83	125	206	632	1483	16814791	14742555	13239125	12304351	11222776	9668369	8185996	7016120	5848164	4483094	
lane14	UNKNOWN	DB228	307548600	307328979	6003665	1.12757	297091023	10308328	136373	6252	1139	740	451	241	197	135	113	98	117	170	291	878	2054	22229868	19490564	17486111	16228820	14793730	12751097	10804966	9261206	7731503	5932954	
lane1	UNKNOWN	DB229	285820948	285471524	2673507	0.774363	275952979	9731816	127162	4568	937	626	314	201	136	101	89	81	104	142	223	527	942	20625703	17977006	15837838	14322223	12804856	10976476	9238940	7831094	6473211	4965018	
lane2	UNKNOWN	DB229	286586069	286203421	2685859	0.781193	276672428	9777034	127660	4545	867	626	330	218	161	118	96	95	123	146	243	483	896	20703303	18071029	15924160	14392851	12860017	11018919	9277054	7850415	6482280	4975327	
